Year,Performance_Count,Visitors
2018,21,"Amanda White, Andrew Baker, Austin Wood, Cody Price, Dennis Porter, Emily Davis, Heather Morris, Jane Smith, Jessica Taylor, Laura Howard, Mark Jackson, Mason Washington, Miranda Crawford, Monica Gibson, Ronnie Nichols, Vicki Shaw"
2018,18,"Alfred Gordon, Clifford Rose, Dylan Watson, Eileen Ferguson, Ethan Kelly, Gabriel Wallace, Jordan Hughes, Joshua Carter, Keith Robertson, Kimberly Rivera, Kyle Griffin, Leslie Tucker, Madeline Jenkins, Melissa Richardson, Michelle King, Morgan Russell, Nicole Young, Noah Gonzales, Norman Hawkins, Sheila Ortiz, Stephanie Adams, Vera Snyder"
2018,17,"Andrea Diaz, April Ramos, Charles Wright, Clarence Reyes, Edward Evans, Garrett Marshall, Jasmine Bryant, Jason Sanchez, Jennifer Walker, Jocelyn Wells, Joseph Green, Katherine Sanders, Kevin Roberts, Lester Perkins, Lindsey Owens, Lisa Thomas, Marcus Gomez, Matthew Garcia, Michael Brown, Molly Morales, Oscar Stevens, Pamela Rice, Sabrina Fisher, Tara Murray, Thomas Allen, Tracy Warren, Vanessa Sullivan, Yvonne Stone"
2018,15,"Caroline Hunter, Christopher Harris, Courtney Woods, Daniel Anderson, Joel Freeman, Johnny Palmer, Laura Scott, Luke Mcdonald, Paige Myers, Rebecca Nelson, Ryan Cox, Vanessa Bennett"
2018,14,"Alex Johnson, Alexis Simpson, Alyssa Powell, Bradley Webb, Brandon Cooper, Brian Campbell, Christine Brooks, David Martinez, Dolores Gardner, Elizabeth Rodriguez, Erica Butler, Gary Cook, Glenda Daniels, Glenn Stephens, Hannah Torres, Jacob Ward, Lorraine Mills, Phillip Henry, Roger Black, Sarah Wilson, Sean Graham, Shelby West, Stacey Burns, Tiffany Morgan, Victoria James, Wendy Hudson, Wesley Kennedy"
2018,13,"Angela Mitchell, Ashley Martin, Brett Cole, Dean Dixon, Gerald Holmes, Jeffrey Rogers, John Doe, Logan Simmons, Travis Hayes, Tyler Ross, Zachary Coleman"
2018,11,"Amber Reed, Briana Hamilton, Brittany Gray, Cameron Perry, Carla Hunt, Derek Ford, Florence Grant, Francis Knight, Kayla Henderson, Leonard Mason, Maria Foster, Nathan Peterson, Raymond Hicks, Ronald Collins, Scott Bailey"
2018,10,"Bethany Boyd, Corey Reynolds, Erik Harrison, Evelyn Cruz, Gene Spencer, Kristina Dunn, Patrick Ramirez"
2018,9,"Devin Jordan"
2018,8,"Christina Stewart"
2018,7,"Allison Barnes, James Lee, Lucas Alexander, Megan Phillips, Olivia Edwards, Robert Hall, Timothy Bell"
2018,6,"Haley Flores, Rachel Murphy, Samantha Parker"
2019,16,"Alyssa Powell, Bradley Webb, Brett Cole, Devin Jordan, Eileen Ferguson, Ethan Kelly, Jasmine Bryant, Jocelyn Wells, Leslie Tucker, Lester Perkins, Michael Brown, Molly Morales, Phillip Henry, Raymond Hicks, Ryan Cox, Scott Bailey, Stacey Burns, Stephanie Adams, Tara Murray, Thomas Allen, Vicki Shaw, Wendy Hudson, Wesley Kennedy"
2019,14,"Allison Barnes, Amber Reed, Andrea Diaz, Brian Campbell, Cody Price, Daniel Anderson, Dolores Gardner, Erik Harrison, Jacob Ward, James Lee, Kayla Henderson, Laura Scott, Leonard Mason, Luke Mcdonald, Madeline Jenkins, Mason Washington, Morgan Russell, Nathan Peterson, Nicole Young, Noah Gonzales, Roger Black, Sean Graham, Shelby West, Timothy Bell, Tyler Ross, Victoria James"
